Sr. No.,id,name,host_is_superhost,neighbourhood,latitude,longitude,price in USD,guests_included,Region
76,63247,Lovely open plan en-suite bed/bath,t,Mission District,37.74926,-122.41398,166.00 ,1,Southern
77,63405,Private Suite in Mission,f,Mission District,37.754,-122.41771,125.00 ,1,Southern
78,64165,Great room in a fantastic location!,t,Marina,37.80317,-122.42874,90.00 ,1,North of Downtown
79,66119,Large garden studio  apt. near Golden Gate Park,f,Richmond District,37.77798,-122.47812,95.00 ,1,Outside Lands
80,66188,Spectacular Sutro Heights,f,Richmond District,37.77719,-122.50906,216.00 ,4,Outside Lands
81,68239,Beautiful 1bdr apt by Dolores Park in Mission,t,Noe Valley,37.75426,-122.42387,326.00 ,2,Southern
82,69410,Private 1BR Inner Richmond Apt,t,Richmond District,37.77442,-122.46319,80.00 ,1,Outside Lands
83,69549,MISSION Outr BedRm3+Fridge+PvtBath ,f,Excelsior,37.73027,-122.42644,46.00 ,1,Southern
84,69553,MISSION Outr BedRmU3+MinFridge,f,Excelsior,37.73128,-122.42478,45.00 ,1,Southern
85,69681,Panorama Pacific View - Pet Friendly,f,Richmond District,37.77707,-122.50923,185.00 ,4,Outside Lands
86,70139,Noe Valley Eco-Escape +Maid Service,f,Noe Valley,37.74527,-122.42424,108.00 ,2,Southern
87,70284,Monthly Shared Home for Students 1,f,Chinatown,37.79364,-122.40635,30.00 ,1,Downtown
88,70753,Dorm Bed In Friendly Hostel Community #1,f,Financial District,37.79447,-122.4045,45.00 ,1,Downtown
89,71645,Bernal Heights Northslope Studio,t,Bernal Heights,37.74578,-122.40841,109.00 ,1,Southern
90,71779,ｽﾀｼﾞｵｱﾊﾟｰﾄ,f,Richmond District,37.77625,-122.46466,80.00 ,1,Outside Lands
91,72365,Cozy loft in the center of SF. F1A,f,Western Addition/NOPA,37.77518,-122.43334,100.00 ,4,Western Addition
92,72444,Dorm Bed In Friendly Hostel Community #2,f,Financial District,37.79309,-122.40443,45.00 ,1,Downtown
93,72921,Wonderful private 1 bedroom apt. F6,f,Western Addition/NOPA,37.77588,-122.43143,95.00 ,2,Western Addition
94,73011,"Modern SoMa 1-bdrm, views, balcony",f,SoMa,37.77026,-122.41855,270.00 ,1,Southern
95,74451,Views of SF from a nice studio F5,f,Western Addition/NOPA,37.77388,-122.43298,120.00 ,2,Western Addition
96,74758, Mission Outr Rustic Pvt Bedroom ,f,Excelsior,37.73137,-122.42532,45.00 ,1,Southern
97,75422,Mission Outr CozyBedRm4+Minfridge,f,Excelsior,37.73128,-122.42473,40.00 ,1,Southern
98,75423,Mission Outr Big Precious Roomy Room,f,Excelsior,37.73048,-122.42494,45.00 ,1,Southern
99,77175,Private Studio w/ Kitchenette &Bath,t,Glen Park,37.73838,-122.43375,135.00 ,2,Southern
100,77932,"FAB BDRM w/ PrvtBATH, Patio,Fridge",f,Excelsior,37.73134,-122.42457,57.00 ,1,Southern
101,78651,Heart of the Mission: Hot spot,f,Mission District,37.75615,-122.41927,75.00 ,1,Southern
102,80394,Hideaway in the Haight,f,Haight-Ashbury,37.77065,-122.44252,140.00 ,2,Western Addition
103,81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,t,Western Addition/NOPA,37.78493,-122.44618,83.00 ,2,Western Addition
104,81256,MISSION Outr BedRM#2 + 2Beds+Fridge,f,Excelsior,37.73152,-122.42547,45.00 ,1,Southern
105,81535,Heart of San Francisco D-town Loft,f,Civic Center,37.78025,-122.4131,250.00 ,1,Downtown
106,82919,"Quiet Room in Victorian House, Parking, City View",f,Bernal Heights,37.7343,-122.42092,97.00 ,1,Southern
107,83257,Charming Lower Pac Hts Private Room,t,Western Addition/NOPA,37.78528,-122.44358,90.00 ,1,Western Addition
108,83553,Sutro Garden View,f,Richmond District,37.77483,-122.50952,85.00 ,2,Outside Lands
109,84777,Upper Castro Studio,t,The Castro,37.75969,-122.44445,85.00 ,1,Western Addition
110,87640,"Garden Room/En-suite, Private Entrance",t,Noe Valley,37.7455,-122.42898,115.00 ,1,Southern
111,91957,Sunny SF Flat with 5*s,f,Cole Valley,37.76194,-122.44929,201.00 ,4,Western Addition
112,96383,Prime Location Bright Private Room,t,Pacific Heights,37.79176,-122.42476,59.00 ,1,North of Downtown
113,99094,Spacious Edwardian Flat SF Mission,f,Mission District,37.76809,-122.42439,185.00 ,3,Southern
114,100710,Stylish Living in Liberty Hill,f,Mission District,37.75629,-122.42518,450.00 ,4,Southern
115,102951,Monthly Shared Home for Students 2,f,Chinatown,37.79297,-122.40664,30.00 ,1,Downtown
116,105497,Private Room in San Francisco!,f,Outer Sunset,37.75754,-122.49852,85.00 ,1,Southern
117,106025,Gorgeous French Flat near Union Sq.,t,Tenderloin,37.78535,-122.41515,145.00 ,2,Downtown
118,109883,San Francisco Serenity/ lovely home,t,Balboa Terrace,37.73327,-122.46435,125.00 ,2,Western Addition
119,110825,Charming Cottage with Bay View,f,Bayview,37.71549,-122.38922,120.00 ,2,Southern
120,113211,Shelli''''s Student Home (1 Month Min),f,Chinatown,37.79294,-122.40659,30.00 ,1,Downtown
121,114401,Room w/ a View in the Castro!,t,The Castro,37.76102,-122.43005,125.00 ,1,Western Addition
122,115242,Tel Hill-1 Bdr (+sep Queen bed alcove) & Parking,t,Telegraph Hill,37.80591,-122.4083,125.00 ,2,Downtown
123,121065,Victorian 1BR/1BA in Castro/Duboce,f,Lower Haight,37.77083,-122.43109,200.00 ,2,Western Addition
124,126046,SF Victorian With Skyline Views ,f,Haight-Ashbury,37.76813,-122.44494,150.00 ,5,Western Addition
125,128230,Castro Sanctuary,t,The Castro,37.75887,-122.43565,328.00 ,2,Western Addition
126,130775,Emergency happy room-sink  UCSF/USF-San Francisco,f,Cole Valley,37.76609,-122.45126,65.00 ,1,Western Addition
127,130805,"Hip, Cozy, Creative, Victorian",t,Mission District,37.75586,-122.42092,97.00 ,2,Southern
128,132441,Calm Cool & Collected in Sunny Bernal Heights,t,Bernal Heights,37.73974,-122.42299,69.00 ,1,Southern
129,134015,"Marina location, rooftop GGB views+ private deck!",f,Marina,37.80356,-122.42589,275.00 ,4,North of Downtown
130,134193,Charming Family House near GG Park,f,Richmond District,37.7806,-122.47597,550.00 ,6,Outside Lands
131,137129,San Francisco Luxury Summer Rental,f,Richmond District,37.7879,-122.46474,850.00 ,1,Outside Lands
132,137546,Bernal Heights Gem near SF Mission,t,Noe Valley,37.74708,-122.42456,102.00 ,2,Southern
133,138592,Modern Architectural Gem - 4 Bdrm,t,Mission District,37.75558,-122.42474,"1,200.00 ",6,Southern
134,138619,North Beach View & Garden 1BD/1BA,f,Telegraph Hill,37.79835,-122.4042,150.00 ,2,Downtown
135,138772,Garden Studio,f,The Castro,37.75823,-122.43273,150.00 ,2,Western Addition
136,140568,Bernal Heights San Francisco Value,t,Bernal Heights,37.73874,-122.41624,90.00 ,1,Southern
137,142177,"Stylish, Spacious and Quiet Flat!",t,Richmond District,37.78471,-122.48125,399.00 ,4,Outside Lands
138,144043,Cozy Room in Eclectic SF Farmhouse!,f,Bernal Heights,37.74547,-122.40726,85.00 ,1,Southern
139,144978,Prime Location - Small Basic Room,t,Pacific Heights,37.79336,-122.42506,56.00 ,1,North of Downtown
140,147443,Best Views in all of San Francisco,f,Diamond Heights,37.74599,-122.44532,230.00 ,4,Southern
141,148559,"Central Victorian Apartment, 2.5 br",f,Duboce Triangle,37.76787,-122.43172,275.00 ,1,Western Addition
142,148769,Ground Floor Studio with Garage Parking,f,Twin Peaks,37.75195,-122.44928,115.00 ,2,Western Addition
143,150053,1600 sqft Luxury Apartment,f,South Beach,37.7876,-122.39222,600.00 ,2,Southern
144,150347,Cute Private 2Br Apt in the Mission,t,Mission District,37.76202,-122.41876,179.00 ,4,Southern
145,150848,SF Urban Haven & Secret Garden,t,Potrero Hill,37.762,-122.39391,75.00 ,1,Southern
146,162934,Designer remodeled studio,t,Richmond District,37.77761,-122.50378,149.00 ,1,Outside Lands
147,164207,"Quiet area by subway, private bath",t,West Portal,37.74159,-122.46578,69.00 ,1,Outside Lands
148,166199,Castro Cottage w/ Secret Garden,f,The Castro,37.76194,-122.43239,220.00 ,2,Western Addition
149,166771,DOWNEY STREET - Victorian Flat,f,Haight-Ashbury,37.76827,-122.44678,185.00 ,2,Western Addition
150,174679,Comfy room in large sunny flat in the Mission,t,Mission District,37.75452,-122.40716,80.00 ,2,Southern
151,175090,FINANCIAL DIST: Gino''''s Cozy Getaway,f,Financial District,37.79018,-122.40475,110.00 ,2,Downtown
152,175102,FIN. DIST: Mario''''s Studio Penthouse,f,Financial District,37.79076,-122.40403,135.00 ,2,Downtown
153,176274,Mission Outr PvtBDRm2D& minifridge,f,Excelsior,37.73143,-122.42325,45.00 ,1,Southern
154,177137,Grant Avenue Apartment,t,Chinatown,37.79675,-122.40781,135.00 ,1,Downtown
155,179876,Mission Mini Full Bed Spectacular | Safe & Central,f,Mission District,37.75606,-122.4089,92.00 ,2,Southern
156,181407,Centrally Located Secluded Garden Cottage,t,Glen Park,37.73723,-122.43139,155.00 ,2,Southern
157,183334,2 bedroom Bernal Heights Condo - FABULOUS views!,t,Bernal Heights,37.74531,-122.41122,225.00 ,4,Southern
158,183859,"Family-Friendly Flat In San Francisco, CA. USA",t,Glen Park,37.73626,-122.43677,220.00 ,3,Southern
159,187730,Bohemian Rhapsody in the Mission,f,Mission District,37.75757,-122.41939,75.00 ,1,Southern
160,189068,Bernal Heights Live Like a Local,t,Bernal Heights,37.73856,-122.41687,90.00 ,1,Southern
161,189894,SF  PRIME MARINA LOCATION RENTAL,t,Marina,37.80318,-122.42977,150.00 ,1,North of Downtown
162,191632,Private Entrance Garden Studio,t,Western Addition/NOPA,37.77311,-122.44979,138.00 ,2,Western Addition
163,199480,One room overlooking Precita Park,t,Bernal Heights,37.74557,-122.41187,90.00 ,1,Southern
164,201313,Fully Furnished 1 bedroom apartment,f,Telegraph Hill,37.8034,-122.40485,182.00 ,1,Downtown
165,201579,Renovated Historic Home,f,Alamo Square,37.77756,-122.43326,136.00 ,4,Western Addition
166,206566,Monthly Shared Home for Students 3,f,Chinatown,37.79507,-122.40498,30.00 ,1,Downtown
167,206634,Monthly Shared Home for Students 4,f,Chinatown,37.79466,-122.40523,30.00 ,1,Downtown
168,206637,Monthly Shared Home for Students 5,f,Chinatown,37.79291,-122.40637,30.00 ,1,Downtown
169,207980,"3 Bdrm City View Home w/Parking, deck,",t,Noe Valley,37.74446,-122.43776,295.00 ,6,Southern
170,208727,"Full Floor Flat, Priv.Bath Mid-Richmond,",t,Richmond District,37.78265,-122.48971,85.00 ,1,Outside Lands
171,208831,Virtually Your Own Apt in Nth Beach,t,North Beach,37.80242,-122.4144,165.00 ,2,Downtown
172,209514,Haight Ashbury Experience Room 2,f,Haight-Ashbury,37.77118,-122.44963,92.00 ,1,Western Addition
173,212265,"Sunny Condo in the Mission, San Francisco",f,Mission District,37.75551,-122.40882,178.00 ,1,Southern
174,212783,Haight Ashbury Experience Room 1,f,Haight-Ashbury,37.77108,-122.44942,98.00 ,2,Western Addition
175,213532,Haight Ashbury Experience Room 4,f,Haight-Ashbury,37.77085,-122.44811,78.00 ,1,Western Addition
176,213854,Victorian Flat,f,The Castro,37.76146,-122.43817,325.00 ,4,Western Addition
177,216042,Bernal Heights Views Garden Hottub,f,Bernal Heights,37.74382,-122.41773,147.00 ,1,Southern
178,216064,AUMVersity Subodhi Room,t,Mission Terrace,37.72652,-122.43468,75.00 ,1,Outside Lands
179,217106,Great Ashbury Studio in SF  #3,f,Haight-Ashbury,37.76468,-122.44523,110.00 ,2,Western Addition
180,218567,Balcony on Fillmore Street +Parking,f,Western Addition/NOPA,37.78594,-122.43219,200.00 ,2,Western Addition
181,220418,Haight Ashbury Experience Room 3,f,Haight-Ashbury,37.77042,-122.45019,78.00 ,1,Western Addition
182,221342,Penthouse Master Suite Panoramic View with Decks,f,Russian Hill,37.80281,-122.4154,139.00 ,1,North of Downtown
183,224579,Beautiful luxury house w/ Deck,t,Mission District,37.75632,-122.40478,145.00 ,2,Southern
184,225205,Private Mission Room Near Valencia,f,Mission District,37.76097,-122.42313,115.00 ,1,Southern
185,225933,Art lovers to the Duboce Triangle!,t,Duboce Triangle,37.7684,-122.43086,99.00 ,2,Western Addition
186,229240,Dorm Bed In Friendly Hostel Community #3,f,Financial District,37.79341,-122.4034,45.00 ,1,Downtown
187,229319,Bernal pied-à-terre,t,Bernal Heights,37.73819,-122.41566,135.00 ,2,Southern
188,231129,Nob Hill Mini Mansion 4b/4b,f,Nob Hill,37.79114,-122.41029,989.00 ,8,Downtown
189,231752,Mid-Century Garden Flat in Charming Upper Castro Victorian,t,The Castro,37.75565,-122.44022,250.00 ,2,Western Addition
190,232060,Lovely Private Suite Near UCSF- Monthly Only,f,Inner Sunset,37.75855,-122.46444,99.00 ,2,Western Addition
191,238190,Contemporary Penthouse with Two Beds and City View,f,Russian Hill,37.80301,-122.41581,99.00 ,1,North of Downtown
192,238204,Spacious SF Getaway Near The Ocean,t,Outer Sunset,37.74174,-122.50435,135.00 ,2,Southern
193,241235,Dorm Bed In Friendly Hostel Community #4,f,Financial District,37.79271,-122.40383,45.00 ,1,Downtown
194,242008,One Bedroom SOMA apartment,t,SoMa,37.77499,-122.40635,160.00 ,2,Southern
195,242477,Spacious and Airy Flat Steps from Castro with a Great Yard,t,The Castro,37.75967,-122.44257,225.00 ,5,Western Addition
196,244361,North Beach Chinatown Apartment,t,Chinatown,37.79532,-122.40863,135.00 ,1,Downtown
197,245339,1 Bedroom near Ballet Symphony,t,Tenderloin,37.78304,-122.41942,138.00 ,1,Downtown
198,252867,Potrero Hill Condo with View of Bay,f,Potrero Hill,37.75889,-122.39539,280.00 ,4,Southern
199,256148,Spacious Quiet Rm w/Private Ensuite Bath in Castro,t,The Castro,37.76188,-122.44215,139.00 ,1,Western Addition
200,256176,Private entrance bd/bath by GG Park,t,Richmond District,37.77579,-122.45504,100.00 ,1,Outside Lands
201,258786,Room with Bay Views,f,Bernal Heights,37.7435,-122.40805,75.00 ,1,Southern
202,258873,Stay in the heart of North Beach!,f,Telegraph Hill,37.80134,-122.40714,89.00 ,1,Downtown
203,259621,Dorm Bed In Friendly Hostel Community #6,f,Financial District,37.7947,-122.40374,45.00 ,1,Downtown
204,259622,Dorm Bed In Friendly Hostel Community #5,f,Financial District,37.79441,-122.40473,45.00 ,1,Downtown
205,259919,Golden Gate Park 1BR,f,Cole Valley,37.7647,-122.45368,114.00 ,1,Western Addition
206,261358,Studio with Rooftop Deck,t,Tenderloin,37.78322,-122.42025,138.00 ,1,Downtown
207,269371,Delux Digs by Buena Vista Park,t,The Castro,37.76294,-122.43974,115.00 ,1,Western Addition
208,269463,Elegant Victorian Flat in Haight,f,Cole Valley,37.76711,-122.45151,250.00 ,2,Western Addition
209,271602,Luxury Condo Downtown/ SoMa,t,SoMa,37.77641,-122.40454,133.00 ,2,Southern
210,271647,SURF Ocean Beach + Golden Gate Park,f,Outer Sunset,37.75553,-122.50707,35.00 ,1,Southern
211,273530,Sunny Potrero Townhouse Nest,t,Potrero Hill,37.75612,-122.39967,325.00 ,4,Southern
212,274334,Newly remodeled clean/private bath,f,Outer Sunset,37.75346,-122.50358,89.00 ,1,Southern
213,276072,Bright rm/Mission (w/pinball),t,Mission District,37.76833,-122.42592,95.00 ,1,Southern
214,277339,Comfortable and tranquil SF escape,t,Mission Terrace,37.72681,-122.43419,110.00 ,1,Outside Lands
215,279184,"Perfect family home, 3 BR in the Mission, backyard",t,Mission District,37.7529,-122.41553,575.00 ,4,Southern
216,280549,Bungalow Rooms with Great Views,t,Sunnyside,37.73773,-122.44956,250.00 ,1,Western Addition
217,284117,"Cozy, Charming Cottage nestled in a Quiet Garden",t,Noe Valley,37.74334,-122.42932,105.00 ,2,Southern
218,284766,Converted 1911 Stable  - Cow Hollow/Marina,t,Cow Hollow,37.79921,-122.43191,300.00 ,1,North of Downtown
219,285499,Castro States Street View Penthouse,f,The Castro,37.76288,-122.43815,210.00 ,1,Western Addition
220,285755,Modern in the ❤ of the Mission District!,t,Mission District,37.75395,-122.41917,145.00 ,1,Southern
221,286311,Spacious Corona Heights flat with views,t,The Castro,37.76275,-122.44252,475.00 ,6,Western Addition
222,287907,Perfect Base ~15 min to Downtown on public transit,t,Glen Park,37.73225,-122.43614,300.00 ,4,Southern
223,288213,Stylish Potrero Garden Flat for Two,t,Dogpatch,37.75971,-122.38833,190.00 ,2,Southern
224,292723,Mission Outr PvtBDRmD3 + MiniFridge,f,Excelsior,37.73096,-122.42378,45.00 ,1,Southern
225,295240,Garden Apartment Oasis with Lush Greenery and a Hot Tub,t,The Castro,37.76267,-122.43919,299.00 ,1,Western Addition
226,295565,SF BedRM 4,f,Excelsior,37.7303,-122.42464,30.00 ,1,Southern
227,297897,Tidy Flat 1 block beach/ MUNI +Free Exploritorium,f,Outer Sunset,37.75737,-122.50619,296.00 ,1,Southern
228,298368,Perfect Modern 1BD  Mission SF Apt,f,Mission District,37.76259,-122.41748,160.00 ,1,Southern
229,307837,"Lovely, garden studio apartment",f,Noe Valley,37.75131,-122.437,159.00 ,1,Southern
230,308885,North Beach Best Location and View,f,Telegraph Hill,37.79954,-122.40679,150.00 ,1,Downtown
231,314248,Pacific Heights 3 bedroom home,t,Pacific Heights,37.79026,-122.4364,325.00 ,1,North of Downtown
232,314368,2BR North Beach - Perfect for Business or Leisure,t,Telegraph Hill,37.80345,-122.40798,600.00 ,2,Downtown
233,317078,Alamo Square 1 bedroom Apt. F1B,f,Alamo Square,37.77612,-122.43292,100.00 ,2,Western Addition
234,317121,Small but practical studio in SF,f,Haight-Ashbury,37.76641,-122.44667,90.00 ,2,Western Addition
235,317951,Woodward Garden Suite,f,Mission District,37.7667,-122.41992,150.00 ,2,Southern
236,323635,Sleep in  AUMVersity Altar Room.,t,Excelsior,37.72606,-122.43232,48.00 ,1,Southern
237,325478,Spacious & artsy 2br Dolores Park flat,t,Mission District,37.76065,-122.42414,365.00 ,4,Southern
238,326650,Lovely beautiful Apt Pac Fillmore,f,Western Addition/NOPA,37.78633,-122.43217,139.00 ,2,Western Addition
239,329020,"The Clock Tower, circa 1907.",f,South Beach,37.78278,-122.39337,250.00 ,2,Southern
240,330535,Victorian Flat amongst the Trees.,f,Haight-Ashbury,37.76892,-122.44615,189.00 ,3,Western Addition
241,330736,Luxury Condo w/ Views & Whole Foods,f,Potrero Hill,37.76592,-122.40628,298.00 ,2,Southern
242,334339,Castro Cottage: Room & Private Bath,t,The Castro,37.76295,-122.44259,99.00 ,1,Western Addition
243,334886,Marina Designer Showplace SPECIAL COSY RM,t,Marina,37.80432,-122.44601,150.00 ,1,North of Downtown
244,338849,Best area Bright LARGE Beautiful,f,Western Addition/NOPA,37.78525,-122.43051,99.00 ,1,Western Addition
245,342420,Large Victorian House in Castro,f,The Castro,37.76052,-122.42939,595.00 ,6,Western Addition
246,348580,Lovely view condo near BART/Mission,f,Bernal Heights,37.74271,-122.41955,160.00 ,2,Southern
247,348714,Elegant Queen Ann Victorian,t,Western Addition/NOPA,37.77307,-122.44293,190.00 ,2,Western Addition
248,350391,Spectacular View Penthouse • Private Ensuite Bath,t,Noe Valley,37.74603,-122.43715,195.00 ,2,Southern
